newscan,angle,distance
0,47.90625,3639.5
0,50.75,3551.5
0,53.59375,3329.5
0,56.421875,3265.5
0,59.171875,3198.5
0,61.953125,3151.0
0,64.765625,3124.0
0,67.5625,3213.5
0,70.390625,3183.25
0,73.203125,3164.5
0,76.0,3156.25
0,78.8125,3152.0
0,81.609375,3167.0
0,84.546875,3189.5
0,87.359375,3207.75
0,90.171875,3240.75
0,93.0,3272.5
0,95.828125,3322.75
0,98.609375,3393.5
0,101.515625,2906.5
0,104.390625,2653.5
0,107.15625,2434.5
0,110.046875,2219.25
0,112.859375,2075.25
0,115.78125,1866.5
0,118.640625,1787.5
0,121.5,1657.75
0,124.3125,1577.25
0,127.1875,1537.75
0,130.0,1514.75
0,254.453125,351.25
0,262.625,361.5
0,265.296875,364.0
0,268.140625,366.5
0,270.9375,370.25
0,273.640625,375.0
0,276.53125,380.75
0,279.078125,387.5
0,281.796875,395.75
0,284.6875,404.75
0,287.515625,412.25
0,290.1875,416.0
0,297.515625,0.0
0,300.328125,0.0
0,297.71875,553.0
0,300.609375,576.25
0,303.0625,604.0
0,305.609375,635.5
0,308.328125,672.5
0,311.046875,714.0
0,313.734375,762.75
0,316.328125,822.5
0,319.078125,894.25
0,321.671875,984.5
0,324.578125,1093.75
0,327.3125,1128.5
0,330.109375,1163.5
0,332.734375,1429.25
0,343.390625,3497.25
1,348.90625,4054.0
0,351.734375,4067.5
0,357.96875,1489.75
0,0.796875,1508.0
0,10.65625,0.0
0,13.453125,0.0
0,8.65625,3906.25
0,15.3125,951.0
0,18.359375,875.5
0,21.15625,849.25
0,23.90625,857.5
0,26.671875,923.0
0,29.390625,951.5
0,32.15625,991.0
0,41.515625,0.0
0,44.328125,0.0
0,39.5,4041.25
0,42.328125,3885.75
0,45.140625,3760.0
0,47.96875,3638.0
0,50.78125,3549.75
0,53.59375,3328.0
0,56.421875,3266.0
0,59.125,3199.5
0,61.9375,3150.0
0,64.71875,3124.5
0,67.53125,3210.5
0,70.3125,3183.25
0,73.09375,3165.5
0,75.890625,3155.25
0,78.703125,3153.75
0,81.46875,3166.5
0,84.375,3191.0
0,87.203125,3203.75
0,89.984375,3244.75
0,92.765625,3270.0
0,95.59375,3322.75
0,98.375,3382.25
0,101.28125,2923.75
0,104.109375,2723.5
0,106.875,2419.25
0,109.703125,2234.75
0,112.546875,2073.75
0,115.40625,1878.5
0,118.265625,1778.0
0,121.015625,1732.25
0,123.9375,1587.5
0,126.71875,1552.25
0,129.546875,1514.75
0,255.5,359.0
0,260.953125,365.0
0,264.015625,363.0
0,266.90625,365.5
0,269.21875,368.5
0,272.28125,372.25
0,275.0,377.75
0,277.828125,383.5
0,280.4375,390.5
0,283.203125,399.25
0,285.71875,409.75
0,288.890625,399.5
0,295.890625,0.0
0,298.671875,0.0
0,296.09375,541.0
0,298.875,562.5
0,301.421875,586.25
0,304.140625,616.0
0,306.609375,648.5
0,309.28125,687.0
0,311.96875,730.25
0,314.671875,781.25
0,317.28125,847.0
0,319.890625,920.75
0,322.546875,1012.5
0,325.375,1130.5
0,328.171875,1128.5
0,330.8125,1272.5
0,341.265625,3536.75
0,344.046875,3477.5
0,346.796875,3621.5
1,349.546875,4050.75
0,352.328125,4070.75
0,355.703125,1514.75
0,358.5,1499.0
0,1.3125,1507.75
0,11.140625,0.0
0,13.9375,0.0
0,9.078125,3972.0
0,15.78125,947.5
0,18.703125,873.5
0,21.46875,849.25
0,24.28125,859.75
0,26.953125,920.5
0,29.671875,960.5
0,32.40625,994.5
0,41.71875,0.0
0,44.515625,0.0
0,39.65625,4031.75
0,42.4375,3878.5
0,45.265625,3753.75
