newscan,angle,distance
0,0.78125,1505.5
0,3.5,1516.0
0,8.359375,3892.25
0,21.78125,4888.0
1,349.53125,4047.5
0,352.1875,4068.25
0,355.328125,1587.75
0,358.078125,1485.5
0,0.71875,1506.5
0,10.390625,0.0
0,13.03125,0.0
0,8.03125,3888.0
0,13.3125,3721.75
0,21.078125,5792.25
0,23.75,5346.75
0,26.390625,5109.5
0,29.03125,5098.5
0,31.703125,4578.25
0,34.375,4368.75
0,37.03125,4188.0
0,39.6875,4016.0
0,42.328125,3877.75
0,44.96875,3757.25
0,47.640625,3644.5
0,50.28125,3553.25
0,52.9375,3356.25
0,55.578125,3271.0
0,58.25,3218.75
0,60.75,3163.25
0,63.40625,3133.0
0,66.015625,3098.25
0,68.625,3195.25
0,71.265625,3168.75
0,73.90625,3157.5
0,76.53125,3153.25
0,79.140625,3158.5
0,81.765625,3162.75
0,84.5,3186.75
0,87.140625,3200.5
0,89.75,3245.25
0,92.40625,3267.0
0,95.046875,3311.5
0,97.6875,3377.25
0,100.359375,3203.25
0,103.03125,2777.75
0,105.71875,2560.0
0,108.328125,2312.0
0,110.96875,2227.25
0,113.671875,2014.0
0,116.390625,1833.75
0,118.96875,1805.75
0,121.703125,1635.0
0,124.390625,1577.5
0,127.046875,1535.75
0,129.609375,1513.75
0,193.765625,198.25
0,253.96875,355.0
0,261.765625,361.25
0,264.546875,363.0
0,266.765625,366.0
0,269.5,368.25
0,272.109375,372.25
0,274.703125,377.25
0,277.03125,383.0
0,279.78125,389.25
0,282.671875,396.75
0,284.84375,406.25
0,287.453125,409.25
0,290.0625,415.0
0,297.25,0.0
0,299.890625,0.0
0,297.046875,549.0
0,299.65625,571.0
0,302.0,594.25
0,304.5,623.25
0,307.125,653.5
0,309.546875,690.75
0,312.109375,731.0
0,314.625,782.5
0,317.125,840.75
0,319.578125,908.0
0,322.015625,994.25
0,324.765625,1100.75
0,327.328125,1127.5
0,329.921875,1162.25
0,332.328125,1404.5
0,339.75,2643.5
0,342.328125,3070.25
0,344.890625,3466.25
0,347.484375,3615.0
1,350.09375,4052.25
0,352.703125,4062.0
0,355.953125,1500.75
0,358.546875,1493.25
0,1.234375,1506.25
0,10.875,0.0
0,13.515625,0.0
0,8.515625,3897.5
0,21.515625,5673.25
0,24.140625,5337.5
0,26.765625,5075.5
0,32.078125,4548.25
0,34.734375,4338.5
0,37.375,4167.75
0,40.03125,3998.0
0,42.671875,3867.5
0,45.3125,3738.75
0,47.953125,3634.25
0,50.578125,3548.0
0,53.21875,3333.75
0,55.859375,3268.0
0,58.5,3214.0
0,61.015625,3160.25
0,63.625,3131.25
0,66.25,3103.5
0,68.828125,3196.75
0,71.46875,3168.25
0,74.0625,3156.75
0,76.71875,3153.25
0,79.296875,3153.0
0,81.9375,3163.5
0,84.65625,3185.75
0,87.296875,3203.25
0,89.90625,3240.25
0,92.515625,3266.5
0,95.171875,3316.0
0,97.765625,3374.25
0,100.40625,3149.75
0,103.140625,2774.75
0,105.765625,2562.0
0,108.375,2323.0
0,111.0,2226.25
0,113.703125,1994.25
0,116.34375,1833.5
0,119.0,1805.25
0,121.734375,1635.0
