new_scan,angle,distance
False,296.546875,542.75
False,299.046875,564.75
False,301.640625,589.25
False,304.09375,617.25
False,306.734375,647.5
False,309.1875,686.0
False,311.84375,726.0
False,314.3125,775.0
False,316.796875,834.75
False,319.296875,905.75
False,321.921875,988.0
False,324.65625,1093.5
False,327.3125,1128.75
False,329.9375,1162.0
False,332.359375,1405.0
False,339.96875,2652.25
False,342.5625,3084.5
False,345.203125,3582.0
False,347.84375,3619.5
True,350.5,4056.25
False,353.1875,4064.25
False,356.453125,1493.25
False,359.140625,1497.25
False,1.828125,1508.0
False,11.578125,0.0
False,14.25,0.0
False,9.296875,3996.5
False,12.1875,2289.25
False,14.875,2298.25
False,17.5625,2329.0
False,20.21875,2382.75
False,25.234375,5249.25
False,27.9375,4955.5
False,30.640625,4648.25
False,33.3125,4435.25
False,36.03125,4259.75
False,38.71875,4087.75
False,41.4375,3934.75
False,44.109375,3795.5
False,46.828125,3685.75
False,49.5,3591.0
False,52.1875,3495.75
False,54.90625,3287.0
False,57.578125,3242.25
False,60.140625,3185.75
False,62.796875,3147.0
False,65.484375,3105.0
False,68.140625,3205.25
False,70.8125,3189.5
False,73.484375,3165.0
False,76.140625,3156.25
False,78.828125,3153.75
False,81.46875,3167.0
False,84.25,3189.5
False,86.921875,3200.5
False,89.578125,3244.25
False,92.265625,3267.0
False,94.9375,3312.5
False,97.609375,3361.5
False,100.3125,3213.0
False,103.0625,2778.0
False,105.78125,2564.75
False,108.40625,2326.75
False,111.125,2219.75
False,113.875,1950.0
False,116.5625,1832.5
False,119.265625,1814.0
False,122.046875,1640.5
False,124.671875,1583.75
False,127.40625,1541.75
False,130.09375,1514.75
False,256.125,355.0
False,261.1875,362.25
False,263.828125,363.0
False,266.625,365.5
False,269.015625,368.0
False,271.640625,372.25
False,274.265625,376.75
False,277.359375,382.5
False,279.640625,389.0
False,282.359375,396.75
False,285.15625,406.0
False,287.765625,408.75
False,290.4375,418.0
False,297.390625,0.0
False,300.0625,0.0
False,297.25,550.75
False,299.921875,572.5
False,302.421875,597.0
False,304.921875,626.75
False,307.359375,658.5
False,309.953125,696.5
False,312.46875,741.25
False,315.109375,792.25
False,317.546875,855.25
False,320.140625,926.25
False,322.609375,1019.25
False,325.328125,1130.5
False,328.015625,1128.0
False,330.5625,1258.5
False,333.03125,1464.25
False,343.171875,3477.5
False,345.875,3624.5
False,348.46875,3770.25
True,351.109375,4057.0
False,353.78125,4069.0
False,357.078125,1488.0
False,359.6875,1500.0
False,2.40625,1509.75
False,7.15625,3871.0
False,10.0625,2367.5
False,12.671875,2315.25
False,15.375,2308.5
False,18.015625,2371.75
False,20.640625,2413.25
False,25.671875,5172.75
False,28.359375,4935.5
False,31.03125,4649.25
False,33.71875,4412.5
False,36.4375,4222.25
False,39.09375,4063.5
False,41.78125,3908.5
False,44.484375,3782.0
