newscan,angle,distant,quality
0,17.578125,3068.5,15
0,18.828125,2521.5,19
0,19.984375,2427.75,19
0,21.140625,2332.25,17
0,22.28125,2257.5,18
0,23.4375,2171.0,20
0,24.59375,2091.75,20
0,25.765625,2036.25,21
0,26.90625,2065.0,19
0,28.03125,2091.75,21
0,29.140625,2121.25,23
0,30.359375,1950.0,22
0,31.53125,1855.75,24
0,32.671875,1793.75,24
0,33.8125,1736.75,15
0,35.171875,1737.25,17
0,36.3125,1711.75,22
0,38.640625,1669.5,24
0,39.703125,1690.5,17
0,40.828125,1722.25,21
0,42.09375,1586.0,23
0,43.171875,1611.75,20
0,44.375,1622.75,24
0,45.59375,1441.0,23
0,46.703125,1446.75,21
0,47.890625,1462.5,21
0,48.984375,1470.25,22
0,50.140625,1477.5,22
0,51.3125,1416.5,19
0,52.484375,1425.25,18
0,53.609375,1454.25,17
0,54.6875,1533.5,24
0,55.84375,1509.5,19
0,57.015625,1465.0,19
0,58.125,1465.0,20
0,59.515625,1305.75,20
0,60.625,1393.5,10
0,61.765625,1440.0,23
0,62.921875,1390.25,19
0,65.734375,525.75,17
0,67.234375,505.0,19
0,68.375,484.75,23
0,69.578125,477.25,21
0,70.734375,471.25,22
0,71.921875,466.5,24
0,73.15625,463.0,25
0,74.390625,460.25,19
0,75.296875,456.5,24
0,76.453125,453.75,25
0,77.703125,453.0,24
0,78.90625,455.0,25
0,80.21875,455.25,24
0,81.015625,454.75,25
0,82.203125,456.0,25
0,83.546875,458.25,24
0,84.46875,460.5,20
0,85.8125,467.0,22
0,87.109375,476.25,21
0,93.1875,1260.25,11
0,94.359375,1227.5,22
0,95.46875,1227.25,23
0,96.59375,1237.25,17
0,103.53125,1325.75,16
0,104.625,1322.75,25
0,105.859375,1327.25,25
0,107.09375,1337.25,24
0,108.1875,1366.75,14
0,110.625,619.0,16
0,111.796875,624.0,16
0,112.859375,633.5,16
0,116.328125,1382.0,17
0,117.453125,1471.0,20
0,118.59375,1471.5,21
0,119.765625,1495.5,15
0,120.84375,1628.5,24
0,122.03125,1530.75,27
0,125.5,1601.5,14
0,127.765625,1660.25,11
0,129.03125,1546.25,11
0,130.109375,1696.5,28
0,163.5,1224.75,26
0,165.84375,1212.75,26
0,166.984375,1211.25,26
0,168.21875,1207.25,26
0,169.328125,1204.0,26
0,170.75,1051.25,26
0,171.859375,1048.0,25
0,172.859375,1199.5,29
0,174.078125,1199.75,26
0,175.28125,1199.25,28
0,176.453125,1202.25,25
0,177.59375,1201.5,26
0,178.78125,1202.5,26
0,180.03125,1204.5,26
0,181.21875,1207.75,26
0,182.390625,1210.25,26
0,183.609375,1211.25,26
0,184.78125,1216.0,26
0,185.96875,1220.25,25
0,187.09375,1225.25,25
0,188.34375,1234.5,23
0,189.515625,1241.25,21
0,190.703125,1247.25,20
0,191.859375,1256.75,20
0,192.984375,1266.75,28
0,194.140625,1277.5,29
0,195.390625,1285.25,29
0,196.515625,1297.25,29
0,197.71875,1306.5,29
0,198.90625,1314.0,29
0,200.0,1331.5,29
0,201.21875,1341.75,26
0,202.375,1358.25,22
0,203.78125,1373.0,26
0,204.9375,1393.0,24
0,206.109375,1404.75,28
0,207.359375,1425.25,28
0,208.515625,1445.0,23
0,209.6875,1465.0,22
0,211.984375,1540.5,29
0,213.21875,1567.75,29
0,214.375,1592.5,27
0,215.578125,1621.75,26
0,216.703125,1656.5,24
0,217.875,1689.25,28
0,219.09375,1722.75,27
0,220.265625,1757.5,24
0,221.40625,1795.5,24
0,222.578125,1837.25,24
0,223.75,1880.5,24
0,224.953125,1923.5,24
0,226.09375,1970.0,23
0,230.875,2302.0,18
0,232.046875,2381.0,18
0,233.21875,2459.75,19
0,234.40625,2545.5,18
0,235.5625,2638.0,18
0,236.75,2741.75,16
0,241.5,2947.25,25
0,242.71875,2907.25,25
0,243.90625,2893.0,24
0,245.125,2870.5,23
0,246.3125,2852.75,24
0,247.515625,2837.75,24
0,248.703125,2817.75,26
0,249.921875,2798.25,25
0,251.265625,2785.0,24
0,252.484375,2768.5,22
0,253.703125,2761.25,22
0,254.890625,2753.0,22
0,256.078125,2742.75,22
0,257.28125,2728.25,23
0,258.484375,2723.0,23
0,259.71875,2719.0,23
0,260.921875,2714.75,23
0,262.109375,2714.25,23
0,263.34375,2709.5,17
0,264.53125,2726.0,12
0,265.71875,2714.5,12
0,266.953125,2713.0,23
0,268.125,2716.0,23
0,269.328125,2719.75,24
0,270.546875,2724.25,23
0,271.734375,2730.75,22
0,272.921875,2746.0,22
0,274.140625,2755.25,21
0,275.609375,2764.5,23
0,276.796875,2782.5,25
0,278.015625,2790.5,24
0,279.234375,2810.5,26
0,280.4375,2823.0,26
0,281.640625,2842.0,25
0,282.84375,2859.0,26
0,284.078125,2881.5,24
0,285.296875,2900.5,25
0,286.5,2923.5,26
0,287.703125,2955.0,25
0,288.90625,3081.0,25
0,290.109375,3114.75,25
0,291.3125,3137.5,21
0,292.546875,3173.75,23
0,293.734375,3208.75,23
0,294.953125,3252.25,26
0,296.171875,3299.0,25
0,298.703125,3299.0,21
0,299.890625,3353.75,24
0,301.109375,3400.25,23
0,302.328125,3452.75,22
0,303.53125,3513.25,21
0,304.75,3576.0,18
0,305.953125,3637.75,16
0,307.15625,3714.25,20
0,308.40625,3472.75,24
0,309.625,3447.75,24
