newscan,angle,distant,quality
0,24,241.71875,2954.25
0,26,242.890625,2923.0
0,26,244.046875,2904.5
0,26,245.203125,2884.75
0,23,246.359375,2866.0
0,26,247.53125,2852.0
0,25,248.6875,2838.25
0,25,249.859375,2815.0
0,25,251.171875,2805.0
0,26,252.34375,2794.25
0,22,253.5,2774.5
0,22,254.6875,2766.0
0,24,255.84375,2757.75
0,21,257.015625,2749.5
0,21,258.1875,2743.0
0,23,259.328125,2732.5
0,23,260.53125,2731.25
0,23,261.6875,2725.75
0,23,262.859375,2724.25
0,17,264.015625,2714.25
0,21,265.1875,2775.75
0,24,266.375,2744.0
0,23,267.515625,2725.75
0,23,268.703125,2730.25
0,22,269.859375,2732.0
0,21,271.015625,2739.5
0,21,272.15625,2746.0
0,21,273.34375,2756.25
0,22,274.765625,2765.25
0,23,275.953125,2775.75
0,25,277.09375,2795.75
0,25,278.296875,2803.75
0,26,279.46875,2821.0
0,25,280.65625,2832.0
0,24,281.796875,2854.75
0,24,282.984375,2867.5
0,26,284.171875,2891.75
0,26,285.328125,2906.25
0,26,286.515625,2926.25
0,24,287.6875,2962.0
0,25,288.84375,3084.25
0,25,290.015625,3114.25
0,23,291.203125,3138.75
0,22,292.359375,3171.0
0,24,293.53125,3206.75
0,25,294.703125,3250.25
0,25,295.875,3295.0
0,25,297.0625,3338.25
0,0,305.796875,0.0
0,24,299.546875,3329.75
0,24,300.6875,3390.0
0,23,301.890625,3435.75
0,23,303.078125,3496.25
0,20,304.234375,3542.25
0,17,305.421875,3615.25
0,20,306.59375,3681.0
0,19,307.765625,3756.0
0,23,308.984375,3465.75
0,24,310.171875,3405.25
0,23,311.359375,3331.0
0,29,312.546875,3275.5
0,23,313.71875,3222.0
0,18,314.9375,3164.75
0,25,316.125,3111.5
0,25,317.328125,3063.5
0,20,318.5,3009.0
0,24,319.6875,2953.0
0,21,320.859375,3086.0
0,0,329.578125,0.0
0,0,331.078125,0.0
0,0,332.28125,0.0
0,0,333.46875,0.0
0,0,334.671875,0.0
0,0,335.859375,0.0
0,0,337.0625,0.0
0,0,338.265625,0.0
0,0,339.46875,0.0
0,0,340.65625,0.0
0,0,341.859375,0.0
0,0,343.046875,0.0
0,0,344.25,0.0
0,0,345.453125,0.0
0,0,346.65625,0.0
0,0,347.84375,0.0
0,0,349.046875,0.0
0,0,350.234375,0.0
0,0,351.4375,0.0
0,0,352.640625,0.0
0,10,346.4375,2430.25
0,10,347.703125,2419.25
0,9,348.921875,2420.5
0,10,350.109375,2412.25
1,15,351.328125,2404.75
0,14,352.515625,2401.0
0,16,353.734375,2401.25
0,13,354.953125,2405.5
0,15,356.140625,2404.75
0,13,357.34375,2404.75
0,11,358.546875,2405.25
0,11,359.75,2415.75
0,10,0.921875,2417.25
0,10,2.125,2424.75
0,0,10.734375,0.0
0,26,4.453125,2906.5
0,26,5.640625,2919.0
0,25,6.859375,2927.0
0,25,8.046875,2948.75
0,23,9.234375,2961.25
0,23,10.65625,2977.0
0,20,11.859375,2997.75
0,23,13.0625,3027.5
0,23,14.25,3047.25
0,25,15.453125,3071.25
0,25,16.6875,3102.75
0,20,17.984375,2598.0
0,20,19.21875,2496.5
0,21,20.46875,2393.25
0,19,21.671875,2298.75
0,17,22.9375,2205.5
0,22,24.125,2117.5
0,20,25.40625,2028.0
0,21,26.59375,2045.5
0,22,27.78125,2072.25
0,21,29.03125,2106.75
0,19,30.28125,1951.0
0,23,31.53125,1852.5
0,23,32.734375,1780.25
0,22,34.015625,1721.75
0,14,35.328125,1735.75
0,14,36.578125,1711.25
0,21,37.796875,1654.75
0,17,39.015625,1662.0
0,19,40.234375,1693.25
0,27,41.546875,1572.0
0,17,42.75,1593.5
0,23,43.90625,1611.5
0,17,45.28125,1445.0
0,22,46.515625,1441.5
0,21,47.71875,1446.0
0,23,48.953125,1457.75
0,22,50.140625,1464.75
0,20,51.328125,1412.75
0,19,52.578125,1407.25
0,18,53.765625,1441.75
0,26,54.96875,1519.75
0,17,56.15625,1491.5
0,19,57.390625,1450.5
0,17,58.765625,1306.5
0,17,60.125,1301.75
0,23,61.21875,1427.0
0,24,62.484375,1414.75
0,22,63.703125,1380.5
0,24,64.953125,1382.25
0,24,66.15625,1383.0
0,17,67.515625,1243.5
0,16,68.6875,1265.5
0,20,69.859375,1312.75
0,21,71.0625,1336.25
0,22,72.265625,1350.25
0,25,73.546875,1342.0
0,14,74.90625,1200.5
0,21,76.078125,1187.25
0,19,77.328125,1169.75
0,15,78.546875,1142.5
0,24,79.796875,1120.75
0,26,81.03125,1118.5
0,15,82.265625,1141.0
0,0,90.375,0.0
0,17,84.71875,1256.25
0,20,86.0,1257.5
0,0,94.0625,0.0
0,23,88.59375,1149.75
0,12,89.765625,1179.25
0,29,90.921875,1284.5
0,12,92.125,1276.75
0,18,93.421875,1174.75
0,23,94.734375,1163.25
0,10,95.9375,1190.5
0,14,97.09375,1216.25
0,0,105.140625,0.0
0,0,106.375,0.0
0,0,107.609375,0.0
0,0,108.828125,0.0
0,0,110.0625,0.0
0,16,104.6875,1052.25
0,22,106.0,986.75
0,16,107.359375,907.25
0,24,108.796875,871.25
0,24,110.0,853.0
0,25,111.21875,846.5
0,24,112.53125,845.5
0,23,113.9375,798.5
0,12,115.125,785.0
0,10,116.296875,817.75
0,16,117.515625,795.5
0,19,118.734375,790.0
0,17,120.03125,795.25
0,15,121.296875,809.5
0,0,128.6875,0.0
0,13,129.921875,0.0
0,10,124.046875,1582.25
0,0,132.390625,0.0
0,27,126.53125,1611.25
0,16,127.75,1635.5
0,26,129.046875,1560.25
0,18,130.265625,1525.5
0,0,138.6875,0.0
0,0,139.921875,0.0
0,0,141.171875,0.0
0,0,142.40625,0.0
0,0,143.640625,0.0
0,0,144.875,0.0
0,0,146.125,0.0
0,0,147.359375,0.0
0,0,148.609375,0.0
0,0,149.84375,0.0
0,0,151.09375,0.0
0,0,152.328125,0.0
0,0,153.578125,0.0
0,0,154.8125,0.0
0,0,156.046875,0.0
0,0,157.28125,0.0
0,0,158.53125,0.0
0,0,159.765625,0.0
0,0,161.015625,0.0
0,0,162.453125,0.0
0,0,163.703125,0.0
0,0,164.953125,0.0
0,0,166.203125,0.0
0,0,167.453125,0.0
0,0,168.71875,0.0
0,0,169.953125,0.0
0,26,164.4375,1221.25
0,0,172.453125,0.0
0,26,166.875,1211.5
0,26,168.1875,1209.5
0,25,169.375,1203.0
0,25,170.671875,1203.5
0,25,172.109375,1051.75
0,0,179.96875,0.0
0,28,174.4375,1199.25
0,28,175.71875,1199.25
0,28,176.90625,1199.0
0,25,178.15625,1202.25
0,25,179.546875,1202.5
0,25,180.828125,1203.75
0,26,182.015625,1204.75
0,25,183.28125,1210.5
0,25,184.546875,1213.25
0,25,185.734375,1218.75
0,25,187.0,1222.75
0,23,188.28125,1230.75
0,21,189.578125,1236.25
0,20,190.765625,1246.75
0,20,192.0,1257.0
0,28,193.3125,1267.75
0,29,194.5625,1277.5
0,29,195.734375,1288.75
0,29,196.984375,1298.5
0,29,198.25,1307.25
0,29,199.484375,1320.75
0,29,200.78125,1331.5
0,26,202.0,1343.75
0,26,203.390625,1363.5
0,26,204.703125,1382.5
0,28,205.9375,1397.75
0,28,207.140625,1418.75
0,22,208.40625,1438.25
0,22,209.6875,1458.5
0,22,210.890625,1479.75
0,17,212.109375,1537.5
0,28,213.421875,1566.25
0,28,214.65625,1586.5
0,27,215.890625,1620.75
0,24,217.140625,1654.5
0,28,218.421875,1688.25
0,28,219.640625,1727.0
0,25,220.890625,1765.75
0,25,222.125,1804.25
0,25,223.390625,1853.5
0,25,224.609375,1897.5
0,25,225.875,1942.75
0,23,227.171875,1996.0
0,0,235.6875,0.0
0,0,236.953125,0.0
0,0,238.21875,0.0
0,18,232.09375,2360.5
0,18,233.34375,2440.75
0,20,234.609375,2536.25
0,19,235.84375,2634.25
0,16,237.0625,2743.5
0,0,245.828125,0.0
0,0,247.09375,0.0
0,0,248.359375,0.0
0,26,242.109375,2948.0
0,26,243.390625,2919.75
0,26,244.65625,2897.0
0,25,245.9375,2873.25
0,25,247.1875,2855.5
0,26,248.46875,2836.25
0,26,249.75,2818.0
0,26,251.125,2803.75
0,26,252.390625,2789.0
0,24,253.65625,2777.0
0,23,254.953125,2763.75
0,22,256.203125,2753.5
0,24,257.46875,2748.5
0,22,258.75,2737.75
0,23,260.03125,2727.75
0,23,261.3125,2725.0
0,23,262.5625,2721.25
0,20,263.84375,2721.5
