newscan,angle,distance,quality
0,83.890625,1253.5,10

0,85.0625,1269.75,28

0,86.203125,1266.25,16

0,87.375,1159.0,23

0,88.5625,1173.25,16

0,89.625,1289.75,9

0,90.75,1302.5,29

0,91.953125,1291.5,9

0,93.15625,1199.75,21

0,102.4375,1157.0,27

0,103.734375,1054.75,16

0,104.921875,1023.25,22

0,106.125,946.75,19

0,107.34375,904.0,22

0,108.609375,883.5,20

0,109.90625,869.75,25

0,111.015625,864.0,24

0,112.171875,863.75,24

0,113.453125,814.25,16

0,114.484375,835.5,17

0,115.703125,795.25,15

0,116.90625,787.25,19

0,118.140625,787.25,18

0,119.1875,795.25,16

0,120.359375,817.5,10

0,122.96875,1550.0,13

0,125.296875,1562.0,13

0,127.515625,1655.0,13

0,128.75,1561.25,20

0,152.125,685.0,10

0,153.21875,680.5,14

0,164.265625,1217.75,23

0,165.390625,1213.75,26

0,166.546875,1212.75,25

0,167.765625,1210.5,26

0,168.875,1207.25,26

0,170.109375,1207.5,26

0,171.421875,1049.5,25

0,172.421875,1202.0,26

0,173.640625,1201.75,26

0,174.765625,1199.5,28

0,175.9375,1202.25,26

0,177.046875,1202.25,26

0,178.3125,1203.0,25

0,179.53125,1202.75,25

0,180.703125,1204.0,26

0,181.890625,1207.0,26

0,183.109375,1210.0,26

0,184.25,1215.25,26

0,185.46875,1217.75,25

0,186.625,1222.0,25

0,187.78125,1230.5,23

0,188.90625,1237.5,21

0,190.046875,1245.25,21

0,191.265625,1255.75,20

0,192.46875,1264.5,20

0,193.59375,1272.75,28

0,194.78125,1280.25,29

0,195.96875,1290.0,29

0,197.078125,1301.5,29

0,198.296875,1312.0,29

0,199.421875,1321.5,29

0,200.609375,1336.0,29

0,201.734375,1348.25,25

0,203.140625,1368.5,27

0,204.34375,1382.25,27

0,205.5,1397.5,28

0,206.6875,1417.75,28

0,207.828125,1436.5,22

0,209.046875,1455.0,23

0,210.171875,1474.25,22

0,212.5,1554.25,28

0,213.640625,1577.25,29

0,214.8125,1604.75,27

0,216.015625,1635.75,24

0,217.203125,1663.25,27

0,218.3125,1706.0,27

0,219.5,1732.0,27

0,220.6875,1774.75,24

0,221.8125,1812.25,26

0,223.0,1855.25,26

0,224.15625,1898.25,25

0,225.375,1939.25,24

0,226.515625,1988.75,22

0,231.296875,2327.0,18

0,232.4375,2404.25,19

0,233.625,2490.0,20

0,234.78125,2576.5,18

0,235.953125,2671.25,17

0,237.125,2766.0,14

0,240.65625,2960.0,21

0,241.859375,2928.25,26

0,243.0625,2905.25,26

0,244.21875,2884.0,25

0,245.4375,2862.75,24

0,246.640625,2848.0,26

0,247.8125,2826.75,25

0,249.015625,2815.75,26

0,250.21875,2796.75,25

0,251.546875,2784.25,26

0,252.734375,2768.25,23

0,253.921875,2754.25,21

0,255.140625,2749.5,22

0,256.359375,2739.75,22

0,257.53125,2730.0,24

0,258.75,2720.75,23

0,259.921875,2719.5,23

0,261.15625,2713.75,23

0,262.328125,2713.5,24

0,263.53125,2715.25,19

0,264.71875,2745.5,12

0,265.921875,2718.75,12

0,267.125,2715.25,23

0,268.3125,2715.25,23

0,269.515625,2720.75,23

0,270.71875,2726.0,22

0,271.90625,2733.5,22

0,273.09375,2743.5,22

0,274.53125,2756.25,22

0,275.75,2771.0,24

0,276.9375,2787.25,25

0,278.15625,2798.25,26

0,279.359375,2809.75,26

0,280.546875,2828.0,25

0,281.765625,2848.5,26

0,282.96875,2862.75,24

0,284.1875,2882.25,24

0,285.390625,2907.25,26

0,286.59375,2923.0,26

0,287.765625,2989.0,18

0,288.96875,3086.0,25

0,290.15625,3115.75,25

0,291.359375,3138.5,23

0,292.59375,3174.75,23

0,293.78125,3219.0,23

0,295.0,3261.25,26

0,296.1875,3301.75,23

0,297.40625,3358.5,25

0,298.71875,3299.0,21

0,299.90625,3353.25,23

0,301.109375,3404.75,25

0,302.3125,3458.5,21

0,303.53125,3518.5,20

0,304.734375,3582.75,19

0,305.953125,3649.75,17

0,307.15625,3717.5,20

0,308.40625,3472.0,25

0,309.59375,3441.5,24

0,310.828125,3340.5,24

0,312.046875,3270.0,26

0,313.265625,3219.5,23

0,314.5,3175.75,22

0,315.734375,3113.25,25

0,316.953125,3063.5,24

0,318.171875,3022.25,20

0,319.375,2949.25,25

0,320.59375,3066.25,19

0,345.515625,2433.25,10

0,348.046875,2420.75,10

0,349.25,2414.5,11

0,350.5,2410.5,13

1,351.71875,2403.5,13

0,352.953125,2404.25,12

0,354.15625,2403.0,14

0,355.421875,2404.0,16

0,356.65625,2404.25,12

0,357.859375,2403.5,13

0,359.109375,2407.25,15

0,0.34375,2418.25,11

0,3.921875,2905.0,24

0,5.140625,2913.5,26

0,6.390625,2921.75,27

0,7.625,2947.5,26

0,8.828125,2959.25,24

0,10.0625,2978.75,22

0,11.46875,3000.5,20

0,12.71875,3024.5,21

0,13.953125,3050.25,23

0,15.171875,3071.25,25

0,16.4375,3105.5,25

0,17.734375,2602.0,13

0,19.015625,2504.5,19

0,20.265625,2400.75,21

0,21.53125,2306.0,19

0,22.8125,2212.75,18

